NAME,CLUB,LEAGUE,POSITION,RATING,PACE,SHOOTING,PASSING,DRIBBLING,DEFENDING,PHYSICAL
Nahuel Guzmán,,,,73.32,71,59.87,64.19,68.7,54.35,69.77
Willy Caballero,,,,73.32,71,59.87,64.19,68.7,54.35,69.77
Eduardo Salvio,SL Benfica,Liga NOS,RM,80,80,73,76,83,32,50
Nicolás Otamendi,Manchester City,Premier League,CB,87,71,63,70,66,87,84
Marcos Rojo,Manchester United,Premier League,CB,82,79,80,66,78,31,59
Javier Mascherano,FC Barcelona,LaLiga Santander,CB,83,68,65,69,68,86,80
Gabriel Mercado,Sevilla FC,LaLiga Santander,CB,78,72,76,59,75,30,78
Nicolás Tagliafico,Ajax,Eredivisie,LB,82,69,52,76,72,83,84
Marcos Acuña,Sporting CP,Liga NOS,LM,79,80,61,75,75,75,75
Federico Fazio,Roma,Calcio A,CB,82,68,71,78,78,71,81
Cristian Ansaldi,Torino,Calcio A,LB,79,81,59,72,78,75,78
Ángel Di María,Paris Saint-Germain,Ligue 1,CAM,87,72,85,85,90,55,64
Cristian Pavón,Boca Juniors,Primera División,RW,75,74,73,71,78,34,62
Éver Banega,Sevilla FC,LaLiga Santander,CM,85,67,77,81,77,81,85
Enzo Pérez,River Plate,Primera División,CM,78,79,73,74,75,48,70
Lucas Biglia,Milan,Calcio A,CDM,83,70,69,85,85,63,65
Giovani Lo Celso,Paris Saint-Germain,Ligue 1,CAM,75,79,70,75,76,59,60
Maximiliano Meza,,,,73.32,71,59.87,64.19,68.7,54.35,69.77
Lionel Messi,FC Barcelona,LaLiga Santander,RW,98,96,97,98,99,45,81
Sergio Agüero,Manchester City,Premier League,ST,94,92,91,86,95,31,83
Paulo Dybala,Juventus,Calcio A,CF,93,90,88,91,95,32,76
Gonzalo Higuaín,Juventus,Calcio A,ST,93,84,86,75,88,28,80
