NAME,CLUB,LEAGUE,POSITION,RATING,PACE,SHOOTING,PASSING,DRIBBLING,DEFENDING,PHYSICAL
Thibaut Courtois,,,,73.32,71,59.87,64.19,68.7,54.35,69.77
Simon Mignolet,,,,73.32,71,59.87,64.19,68.7,54.35,69.77
Vincent Kompany,Manchester City,Premier League,CB,86,58,33,46,56,88,86
Dedryck Boyata,Celtic,Scottish Premiership,CB,72,61,46,64,68,70,76
Thomas Meunier,Paris Saint-Germain,Ligue 1,RB,84,85,85,80,88,37,70
Thomas Vermaelen,FC Barcelona,LaLiga Santander,CB,78,88,66,76,84,35,55
Toby Alderweireld,Tottenham Hotspur,Premier League,CB,86,71,83,82,89,54,62
Jan Vertonghen,Tottenham Hotspur,Premier League,CB,86,76,85,84,86,82,87
Leander Dendoncker,RSC Anderlecht,Belgium Pro League,CB,82,89,79,82,85,46,66
Yannick Carrasco,Atlético Madrid,LaLiga Santander,LM,86,88,90,67,85,32,71
Nacer Chadli,West Bromwich Albion,Premier League,RM,78,92,78,70,80,43,70
Kevin De Bruyne,Manchester City,Premier League,CM,96,85,96,98,96,58,90
Axel Witsel,,,,73.32,71,59.87,64.19,68.7,54.35,69.77
Thorgan Hazard,Borussia Mönchengladbach,Bundesliga,LM,84,84,86,83,83,54,74
Youri Tielemans,AS Monaco Football Club SA,Ligue 1,CM,80,43,70,70,70,79,78
Mousa Dembélé,,,,73.32,71,59.87,64.19,68.7,54.35,69.77
Marouane Fellaini,Manchester United,Premier League,CDM,82,69,75,81,81,70,72
Romelu Lukaku,Manchester United,Premier League,ST,88,75,80,89,85,47,63
Eden Hazard,Chelsea,Premier League,LW,94,93,90,91,96,35,75
Dries Mertens,Napoli,Calcio A,ST,90,79,82,91,90,70,90
Adnan Januzaj,Real Sociedad,LaLiga Santander,LM,77,78,74,71,84,26,62
Michy Batshuayi,Borussia Dortmund,Bundesliga,ST,87,87,69,78,83,82,85
