NAME,CLUB,LEAGUE,POSITION,RATING,PACE,SHOOTING,PASSING,DRIBBLING,DEFENDING,PHYSICAL
Alisson,,,,73.32,71,59.87,64.19,68.7,54.35,69.77
Ederson,,,,73.32,71,59.87,64.19,68.7,54.35,69.77
Pedro Geromel,,,,84,71,59.87,64.19,68.7,54.35,69.77
Thiago Silva,Paris Saint-Germain,Ligue 1,CB,89,87,88,83,91,33,65
Danilo,SC Braga,Liga NOS,CM,83,68,66,67,74,82,80
Miranda,Inter,Calcio A,CB,87,86,91,77,87,37,85
Fagner,,,,80,71,59.87,64.19,68.7,54.35,69.77
Marquinhos,Paris Saint-Germain,Ligue 1,CB,84,69,80,87,86,33,59
Filipe Luís,Atlético Madrid,LaLiga Santander,LB,88,74,70,87,86,71,70
Marcelo,Real Madrid CF,LaLiga Santander,LB,94,90,79,94,95,92,91
Philippe Coutinho,,,,91,88,92,85,90,54.35,69.77
Renato Augusto,,,,80,71,59.87,64.19,68.7,54.35,69.77
Paulinho,FC Barcelona,LaLiga Santander,CM,87,84,86,86,88,74,77
Casemiro,Real Madrid CF,LaLiga Santander,CDM,90,76,84,82,81,84,85
Fernandinho,Manchester City,Premier League,CDM,88,94,81,79,89,48,73
Fred,Shakhtar Donetsk,Ukrayina Liha,CDM,85,58,40,62,52,84,81
Willian,Chelsea,Premier League,RW,88,88,83,86,89,49,70
Neymar,Paris Saint-Germain,Ligue 1,LW,95,95,90,85,98,33,68
Douglas Costa,Juventus,Calcio A,LM,89,90,84,72,90,28,80
Roberto Firmino,Liverpool,Premier League,ST,89,77,86,86,87,84,88
Taison,Shakhtar Donetsk,Ukrayina Liha,LM,88,77,79,64,79,24,70
Gabriel Jesus,Manchester City,Premier League,ST,89,68,85,87,83,55,73
