NAME,CLUB,LEAGUE,POSITION,RATING,PACE,SHOOTING,PASSING,DRIBBLING,DEFENDING,PHYSICAL
David Ospina,,,,73.32,71,59.87,64.19,68.7,54.35,69.77
Camilo Vargas,,,,73.32,71,59.87,64.19,68.7,54.35,69.77
Santiago Arias,PSV,Eredivisie,RB,84,90,63,75,76,81,83
Farid Díaz,,,,73.32,71,59.87,64.19,68.7,54.35,69.77
Johan Mojica,Girona FC,LaLiga Santander,LM,70,55,70,58,62,18,77
Óscar Murillo,Pachuca,LIGA Bancomer MX,CB,76,64,76,75,76,33,56
Cristián Zapata,,,,73.32,71,59.87,64.19,68.7,54.35,69.77
Yerry Mina,FC Barcelona,LaLiga Santander,CB,80,91,75,72,80,38,66
Dávinson Sánchez,,,,73.32,71,59.87,64.19,68.7,54.35,69.77
James Rodríguez,FC Bayern München,Bundesliga,CAM,88,65,82,86,83,82,80
Juan Cuadrado,Juventus,Calcio A,RM,85,72,75,86,81,65,76
Abel Aguilar,Deportivo Cali,Liga Dimayor,CDM,75,63,71,75,78,41,50
Mateus Uribe,,,,73.32,71,59.87,64.19,68.7,54.35,69.77
Jefferson Lerma,Levante UD,LaLiga Santander,CDM,75,45,62,66,57,78,79
Carlos Sánchez,RCD Espanyol,LaLiga Santander,CDM,77,66,69,78,76,73,72
Wílmar Barrios,,,,73.32,71,59.87,64.19,68.7,54.35,69.77
Juan Fernando Quintero,River Plate,Primera División,CAM,77,65,31,52,54,78,72
Carlos Bacca,Villarreal CF,LaLiga Santander,ST,82,73,74,80,81,65,69
Luis Muriel,Sevilla FC,LaLiga Santander,ST,83,81,85,80,84,34,71
Miguel Borja,,,,73.32,71,59.87,64.19,68.7,54.35,69.77
José Izquierdo,Brighton & Hove Albion,Premier League,LM,82,84,82,72,83,47,82
Radamel Falcao,,,,73.32,71,59.87,64.19,68.7,54.35,69.77
