NAME,CLUB,LEAGUE,POSITION,RATING,PACE,SHOOTING,PASSING,DRIBBLING,DEFENDING,PHYSICAL
Keylor Navas,,,,73.32,71,59.87,64.19,68.7,54.35,69.77
Leonel Moreira,,,,73.32,71,59.87,64.19,68.7,54.35,69.77
Ian Smith,,,,73.32,71,59.87,64.19,68.7,54.35,69.77
Óscar Duarte,RCD Espanyol,LaLiga Santander,CB,77,77,77,71,76,35,80
Kendall Waston,Vancouver Whitecaps FC,Major League Soccer,CB,80,65,62,74,77,72,78
Bryan Oviedo,Sunderland,EFL Championship,LWB,79,71,75,67,69,29,85
Johnny Acosta,,,,73.32,71,59.87,64.19,68.7,54.35,69.77
Cristian Gamboa,Celtic,Scottish Premiership,RB,72,69,60,62,57,68,83
Rónald Matarrita,,,,73.32,71,59.87,64.19,68.7,54.35,69.77
Giancarlo González,Bologna,Calcio A,CB,75,85,70,64,74,33,76
Francisco Calvo,Minnesota United FC,Major League Soccer,CB,71,79,60,70,69,67,66
David Guzmán,,,,73.32,71,59.87,64.19,68.7,54.35,69.77
Yeltsin Tejeda,FC Lausanne-Sport,Raiffeisen Super League,CM,68,75,61,72,73,33,46
Rodney Wallace,New York City Football Club,Major League Soccer,LM,68,62,68,55,58,39,67
Bryan Ruiz,,,,73.32,71,59.87,64.19,68.7,54.35,69.77
Daniel Colindres,,,,73.32,71,59.87,64.19,68.7,54.35,69.77
Christian Bolaños,Vancouver Whitecaps FC,Major League Soccer,RM,71,61,50,52,54,70,74
Celso Borges,RC Deportivo de La Coruña,LaLiga Santander,CDM,78,78,70,71,74,76,79
Randall Azofeifa,,,,73.32,71,59.87,64.19,68.7,54.35,69.77
Johan Venegas,Minnesota United FC,Major League Soccer,CAM,67,69,35,57,60,65,65
Marco Ureña,LAFC,Major League Soccer,ST,66,74,60,61,67,53,72
Joel Campbell,Real Betis Balompié,LaLiga Santander,RM,77,62,63,73,77,70,70
