NAME,CLUB,LEAGUE,POSITION,RATING,PACE,SHOOTING,PASSING,DRIBBLING,DEFENDING,PHYSICAL
Dominik Livaković,,,,73.32,71,59.87,64.19,68.7,54.35,69.77
Danijel Subašić,,,,73.32,71,59.87,64.19,68.7,54.35,69.77
Domagoj Vida,Beşiktaş JK,Süper Lig,CB,79,89,74,73,82,26,72
Duje Ćaleta-Car,FC Red Bull Salzburg,Österreichische Fußball-Bundesliga,CB,71,74,70,68,74,34,63
Šime Vrsaljko,Atlético Madrid,LaLiga Santander,RB,84,71,68,81,73,85,82
Josip Pivarić,,,,73.32,71,59.87,64.19,68.7,54.35,69.77
Ivan Strinić,Sampdoria,Calcio A,LB,75,80,56,63,72,72,73
Dejan Lovren,Liverpool,Premier League,CB,84,88,84,82,87,36,76
Vedran Ćorluka,Lokomotiv Moscow,Sogaz Russian Football Championship,CB,82,72,27,58,58,82,78
Tin Jedvaj,Bayer 04 Leverkusen,Bundesliga,CB,76,73,76,65,72,35,73
Luka Modrić,Real Madrid CF,LaLiga Santander,CM,96,80,86,99,96,85,83
Marcelo Brozović,Inter,Calcio A,CAM,84,78,80,82,86,34,64
Ivan Rakitić,FC Barcelona,LaLiga Santander,CM,88,65,73,79,75,89,89
Filip Bradarić,,,,73.32,71,59.87,64.19,68.7,54.35,69.77
Milan Badelj,Fiorentina,Calcio A,CM,78,80,68,73,77,73,68
Mateo Kovačić,Real Madrid CF,LaLiga Santander,CM,83,83,76,81,87,18,60
Andrej Kramarić,TSG 1899 Hoffenheim,Bundesliga,ST,86,73,71,83,74,87,84
Nikola Kalinić,Milan,Calcio A,ST,81,64,46,71,72,78,75
Mario Mandžukić,Juventus,Calcio A,ST,83,73,75,80,84,65,74
Ante Rebić,Eintracht Frankfurt,Bundesliga,ST,76,66,73,76,72,70,73
Marko Pjaca,FC Schalke 04,Bundesliga,LW,76,72,76,58,72,25,68
Ivan Perišić,Inter,Calcio A,LM,88,65,88,81,82,32,82
