NAME,CLUB,LEAGUE,POSITION,RATING,PACE,SHOOTING,PASSING,DRIBBLING,DEFENDING,PHYSICAL
Kasper Schmeichel,,,,73.32,71,59.87,64.19,68.7,54.35,69.77
Frederik Rønnow,,,,73.32,71,59.87,64.19,68.7,54.35,69.77
Jannik Vestergaard,Borussia Mönchengladbach,Bundesliga,CB,82,87,82,66,84,33,78
Simon Kjær,Sevilla FC,LaLiga Santander,CB,81,70,67,82,80,77,72
Jonas Knudsen,Ipswich Town,EFL Championship,LB,69,74,62,68,68,56,72
Andreas Christensen,Chelsea,Premier League,CB,82,93,70,75,87,26,61
Henrik Dalsgaard,Brentford,EFL Championship,RB,71,54,70,75,70,55,57
Jens Stryger Larsen,Udinese,Calcio A,RB,69,55,71,72,70,62,70
Mathias Jørgensen,Huddersfield Town,Premier League,CB,75,74,51,72,73,73,70
Lasse Schöne,,,,73.32,71,59.87,64.19,68.7,54.35,69.77
Lukas Lerager,FC Girondins de Bordeaux,Ligue 1,CM,74,80,49,67,78,63,53
Christian Eriksen,Tottenham Hotspur,Premier League,RM,92,90,91,86,92,36,77
Thomas Delaney,SV Werder Bremen,Bundesliga,CM,78,84,77,73,82,32,62
William Kvist,FC København,Alka Superliga,CM,70,71,60,69,73,27,50
Michael Krohn-Dehli,RC Deportivo de La Coruña,LaLiga Santander,LM,79,69,47,54,55,79,79
Yussuf Poulsen,RB Leipzig,Bundesliga,ST,76,92,74,62,73,28,64
Andreas Cornelius,Atalanta,Calcio A,ST,73,58,62,73,71,67,75
Kasper Dolberg,Ajax,Eredivisie,ST,78,78,78,64,77,30,66
Martin Braithwaite,Middlesbrough,EFL Championship,LM,82,88,82,80,85,47,77
Nicolai Jørgensen,Feyenoord,Eredivisie,ST,79,86,76,76,81,30,58
Viktor Fischer,FC København,Alka Superliga,LM,75,84,73,66,78,25,70
Pione Sisto,RC Celta de Vigo,LaLiga Santander,LW,77,78,74,71,84,26,62
