NAME,CLUB,LEAGUE,POSITION,RATING,PACE,SHOOTING,PASSING,DRIBBLING,DEFENDING,PHYSICAL
Jordan Pickford,,,,73.32,71,59.87,64.19,68.7,54.35,69.77
Nick Pope,,,,73.32,71,59.87,64.19,68.7,54.35,69.77
Kyle Walker,Manchester City,Premier League,CB,86,89,85,84,88,83,84
Ashley Young,Manchester United,Premier League,LWB,84,75,78,86,87,37,70
Fabian Delph,Manchester City,Premier League,CM,77,65,40,41,57,82,70
Phil Jones,Manchester United,Premier League,CB,81,77,73,77,82,55,77
Gary Cahill,Chelsea,Premier League,CB,84,93,81,80,87,56,64
Danny Rose,Tottenham Hotspur,Premier League,LB,84,78,83,84,87,63,74
Trent Alexander-Arnold,Liverpool,Premier League,RB,76,65,27,51,55,77,77
Kieran Trippier,Tottenham Hotspur,Premier League,RB,78,79,66,73,79,52,75
Harry Maguire,Leicester City,Premier League,CB,79,80,82,76,80,35,83
John Stones,Manchester City,Premier League,CB,82,65,85,60,70,33,85
Jordan Henderson,Liverpool,Premier League,CDM,84,86,85,82,84,27,68
Jesse Lingard,Manchester United,Premier League,CM,84,86,85,82,84,27,68
Dele Alli,Tottenham Hotspur,Premier League,CAM,87,88,79,83,81,83,75
Ruben Loftus-Cheek,Crystal Palace,Premier League,CAM,74,54,38,46,43,76,74
Eric Dier,Tottenham Hotspur,Premier League,CB,82,93,70,75,87,26,61
Raheem Sterling,Manchester City,Premier League,CAM,87,82,80,84,89,35,65
Harry Kane,Tottenham Hotspur,Premier League,ST,96,86,99,93,95,58,96
Danny Welbeck,Arsenal,Premier League,LM,83,76,77,75,80,78,77
Marcus Rashford,Manchester United,Premier League,LM,84,81,75,78,89,34,59
Jamie Vardy,Leicester City,Premier League,ST,84,90,84,80,86,32,70
