NAME,CLUB,LEAGUE,POSITION,RATING,PACE,SHOOTING,PASSING,DRIBBLING,DEFENDING,PHYSICAL
Hugo Lloris,,,,73.32,71,59.87,64.19,68.7,54.35,69.77
Alphonse Areola,,,,73.32,71,59.87,64.19,68.7,54.35,69.77
Raphaël Varane,Real Madrid CF,LaLiga Santander,CB,85,76,85,84,80,33,61
Samuel Umtiti,FC Barcelona,LaLiga Santander,CB,86,64,70,76,72,80,87
Lucas Hernández,Atlético Madrid,LaLiga Santander,CB,78,73,78,66,75,30,77
Djibril Sidibé,AS Monaco Football Club SA,Ligue 1,RB,82,75,53,68,65,84,85
Adil Rami,Olympique de Marseille,Ligue 1,CB,81,80,80,70,78,29,85
Benjamin Pavard,VfB Stuttgart,Bundesliga,CB,82,72,78,69,74,32,65
Benjamin Mendy,Manchester City,Premier League,LB,78,78,77,67,78,23,67
Presnel Kimpembe,Paris Saint-Germain,Ligue 1,CB,78,85,78,74,80,33,70
Steven Nzonzi,,,,73.32,71,59.87,64.19,68.7,54.35,69.77
Blaise Matuidi,Juventus,Calcio A,CM,86,76,89,78,80,48,87
N'Golo Kanté,Chelsea,Premier League,CM,95,90,87,93,93,93,94
Paul Pogba,Manchester United,Premier League,CM,91,88,88,83,91,42,82
Corentin Tolisso,FC Bayern München,Bundesliga,CDM,84,92,78,76,89,38,78
Kylian Mbappé,Paris Saint-Germain,Ligue 1,RW,92,75,76,86,82,84,83
Olivier Giroud,Arsenal,Premier League,ST,86,93,85,83,89,51,78
Thomas Lemar,AS Monaco Football Club SA,Ligue 1,LM,85,73,80,86,87,61,68
Nabil Fekir,Olympique Lyonnais,Ligue 1,CAM,87,80,56,78,76,89,82
Antoine Griezmann,Atlético Madrid,LaLiga Santander,ST,92,52,86,92,85,75,72
Florian Thauvin,Olympique de Marseille,Ligue 1,RM,86,82,78,83,88,35,64
Ousmane Dembélé,FC Barcelona,LaLiga Santander,RM,89,71,75,78,81,75,84
