NAME,CLUB,LEAGUE,POSITION,RATING,PACE,SHOOTING,PASSING,DRIBBLING,DEFENDING,PHYSICAL
Manuel Neuer,,,,73.32,71,59.87,64.19,68.7,54.35,69.77
Marc-André ter Stegen,,,,73.32,71,59.87,64.19,68.7,54.35,69.77
Matthias Ginter,Borussia Mönchengladbach,Bundesliga,CB,86,89,80,85,88,53,68
Mats Hummels,FC Bayern München,Bundesliga,CB,91,51,84,90,83,74,71
Joshua Kimmich,FC Bayern München,Bundesliga,RB,88,91,80,86,92,26,53
Jérôme Boateng,FC Bayern München,Bundesliga,CB,89,66,89,85,84,33,83
Antonio Rüdiger,Chelsea,Premier League,CB,82,74,76,78,78,76,83
Marvin Plattenhardt,Hertha Berlin,Bundesliga,LB,78,84,81,72,81,40,78
Jonas Hector,1. FC Köln,Bundesliga,CDM,80,61,66,80,76,75,74
Niklas Süle,FC Bayern München,Bundesliga,CB,84,64,70,78,74,81,87
İlkay Gündoğan,Manchester City,Premier League,CM,86,82,89,89,86,70,80
Julian Brandt,Bayer 04 Leverkusen,Bundesliga,LM,83,65,85,75,84,35,65
Sebastian Rudy,FC Bayern München,Bundesliga,CM,81,77,73,77,82,55,77
Thomas Müller,FC Bayern München,Bundesliga,RW,89,86,86,84,91,25,67
Mesut Özil,Arsenal,Premier League,RF,89,79,87,75,83,43,83
Toni Kroos,Real Madrid CF,LaLiga Santander,CM,92,85,91,89,95,32,73
Julian Draxler,Paris Saint-Germain,Ligue 1,CAM,86,63,69,74,72,86,87
Sami Khedira,Juventus,Calcio A,CM,86,87,88,82,89,39,73
Leon Goretzka,FC Schalke 04,Bundesliga,CM,85,88,87,80,82,38,70
Marco Reus,Borussia Dortmund,Bundesliga,CF,90,88,88,82,89,33,72
Timo Werner,RB Leipzig,Bundesliga,ST,88,94,80,82,85,83,75
Mario Gómez,VfB Stuttgart,Bundesliga,ST,84,81,80,80,89,31,79
