NAME,CLUB,LEAGUE,POSITION,RATING,PACE,SHOOTING,PASSING,DRIBBLING,DEFENDING,PHYSICAL
Hannes Þór Halldórsson,,,,73.32,71,59.87,64.19,68.7,54.35,69.77
Frederik Schram,,,,73.32,71,59.87,64.19,68.7,54.35,69.77
Birkir Már Sævarsson,,,,73.32,71,59.87,64.19,68.7,54.35,69.77
Hörður Björgvin Magnússon,,,,73.32,71,59.87,64.19,68.7,54.35,69.77
Hólmar Örn Eyjólfsson,,,,73.32,71,59.87,64.19,68.7,54.35,69.77
Kári Árnason,Aberdeen,Scottish Premiership,CB,78,70,68,71,72,77,82
Ari Freyr Skúlason,,,,73.32,71,59.87,64.19,68.7,54.35,69.77
Ragnar Sigurðsson,FC Rostov,Sogaz Russian Football Championship,CB,72,79,66,69,76,24,60
Sverrir Ingi Ingason,FC Rostov,Sogaz Russian Football Championship,CB,71,82,60,68,74,22,36
Gylfi Sigurðsson,Everton,Premier League,CAM,84,70,75,86,81,63,75
Samúel Friðjónsson,,,,73.32,71,59.87,64.19,68.7,54.35,69.77
Jóhann Berg Guðmundsson,Burnley,Premier League,RM,76,85,78,55,73,43,75
Ólafur Ingi Skúlason,Kardemir Karabükspor,Süper Lig,CDM,70,48,58,68,64,61,66
Aron Gunnarsson,Cardiff City,EFL Championship,CM,70,38,64,72,68,63,65
Rúrik Gíslason,SV Sandhausen,Bundesliga 2,RM,68,59,34,35,46,68,72
Emil Hallfreðsson,Udinese,Calcio A,CM,75,71,63,72,76,73,72
Arnór Ingvi Traustason,Malmö FF,Allsvenskan,LM,70,89,63,60,76,37,50
Birkir Bjarnason,Aston Villa,EFL Championship,LM,73,93,51,64,73,66,76
Albert Guðmundsson,,,,73.32,71,59.87,64.19,68.7,54.35,69.77
Björn Bergmann Sigurðarson,,,,73.32,71,59.87,64.19,68.7,54.35,69.77
Alfreð Finnbogason,FC Augsburg,Bundesliga,ST,81,74,83,73,80,40,87
Jón Daði Böðvarsson,Reading,EFL Championship,ST,69,85,66,60,70,37,69
