NAME,CLUB,LEAGUE,POSITION,RATING,PACE,SHOOTING,PASSING,DRIBBLING,DEFENDING,PHYSICAL
Alireza Beiranvand,,,,73.32,71,59.87,64.19,68.7,54.35,69.77
Mohammad Rashid Mazaheri,,,,73.32,71,59.87,64.19,68.7,54.35,69.77
Rouzbeh Cheshmi,,,,73.32,71,59.87,64.19,68.7,54.35,69.77
Majid Hosseini,,,,73.32,71,59.87,64.19,68.7,54.35,69.77
Pejman Montazeri,,,,73.32,71,59.87,64.19,68.7,54.35,69.77
Ehsan Hajsafi,,,,73.32,71,59.87,64.19,68.7,54.35,69.77
Mohammad Reza Khanzadeh,,,,73.32,71,59.87,64.19,68.7,54.35,69.77
Milad Mohammadi,Terek Grozny,Sogaz Russian Football Championship,LB,73,70,70,52,65,25,76
Morteza Pouraliganji,,,,73.32,71,59.87,64.19,68.7,54.35,69.77
Ramin Rezaeian,KV Oostende,Belgium Pro League,RB,70,81,45,62,66,65,73
Omid Ebrahimi,,,,73.32,71,59.87,64.19,68.7,54.35,69.77
Vahid Amiri,,,,73.32,71,59.87,64.19,68.7,54.35,69.77
Mehdi Torabi,,,,73.32,71,59.87,64.19,68.7,54.35,69.77
Masoud Shojaei,,,,73.32,71,59.87,64.19,68.7,54.35,69.77
Saeid Ezatolahi,,,,73.32,71,59.87,64.19,68.7,54.35,69.77
Karim Ansarifard,Olympiacos CFP,Hellas Liga,ST,75,79,57,75,78,64,65
Saman Ghoddos,Östersunds FK,Allsvenskan,ST,70,66,62,65,71,49,60
Reza Ghoochannejhad,SC Heerenveen,Eredivisie,ST,72,82,44,66,70,69,73
Mehdi Taremi,,,,73.32,71,59.87,64.19,68.7,54.35,69.77
Alireza Jahanbakhsh,AZ,Eredivisie,RW,77,43,37,60,59,76,82
Sardar Azmoun,Rubin Kazan,Sogaz Russian Football Championship,ST,77,89,71,74,78,31,68
Ashkan Dejagah,,,,73.32,71,59.87,64.19,68.7,54.35,69.77
