NAME,CLUB,LEAGUE,POSITION,RATING,PACE,SHOOTING,PASSING,DRIBBLING,DEFENDING,PHYSICAL
Eiji Kawashima,,,,73.32,71,59.87,64.19,68.7,54.35,69.77
Kosuke Nakamura,,,,73.32,71,59.87,64.19,68.7,54.35,69.77
Gōtoku Sakai,Hamburger SV,Bundesliga,RB,74,42,63,70,67,74,73
Tomoaki Makino,Urawa Red Diamonds,Meiji Yasuda J1 League,CB,71,70,44,59,60,69,81
Hiroki Sakai,Olympique de Marseille,Ligue 1,RB,75,64,41,64,63,74,73
Naomichi Ueda,Kashima Antlers,Meiji Yasuda J1 League,CB,70,69,74,68,69,34,75
Maya Yoshida,Southampton,Premier League,CB,75,64,51,66,69,75,76
Gen Shoji,Kashima Antlers,Meiji Yasuda J1 League,CB,73,80,75,61,73,25,66
Wataru Endo,Urawa Red Diamonds,Meiji Yasuda J1 League,CB,70,86,61,68,67,50,54
Yuto Nagatomo,Galatasaray SK,Süper Lig,LB,73,56,43,55,57,73,74
Shinji Kagawa,Borussia Dortmund,Bundesliga,CAM,83,82,81,81,79,78,75
Takashi Usami,Fortuna Düsseldorf,Bundesliga 2,LM,74,67,38,56,60,73,74
Genki Haraguchi,Fortuna Düsseldorf,Bundesliga 2,RM,75,71,68,76,74,54,73
Gaku Shibasaki,Getafe CF,LaLiga Santander,CDM,75,70,35,55,55,74,80
Takashi Inui,SD Eibar,LaLiga Santander,LM,82,91,85,75,87,45,76
Hotaru Yamaguchi,Cerezo Osaka,Meiji Yasuda J1 League,CDM,70,79,64,64,75,50,47
Makoto Hasebe,Eintracht Frankfurt,Bundesliga,CDM,77,71,56,73,73,73,74
Ryota Oshima,Kawasaki Frontale,Meiji Yasuda J1 League,CDM,69,67,64,66,67,70,84
Keisuke Honda,Pachuca,LIGA Bancomer MX,CAM,84,74,85,65,78,31,80
Yuya Osako,,,,73.32,71,59.87,64.19,68.7,54.35,69.77
Shinji Okazaki,Leicester City,Premier League,CF,81,75,79,78,80,70,81
Yoshinori Mutō,1. FSV Mainz 05,Bundesliga,ST,76,81,72,68,79,23,66
