NAME,CLUB,LEAGUE,POSITION,RATING,PACE,SHOOTING,PASSING,DRIBBLING,DEFENDING,PHYSICAL
José de Jesús Corona,,,,73.32,71,59.87,64.19,68.7,54.35,69.77
Guillermo Ochoa,,,,73.32,71,59.87,64.19,68.7,54.35,69.77
Rafael Márquez,,,,73.32,71,59.87,64.19,68.7,54.35,69.77
Edson Álvarez,Club América,LIGA Bancomer MX,CB,71,63,70,63,70,33,77
Héctor Herrera,FC Porto,Liga NOS,CM,79,67,75,82,77,64,66
Héctor Moreno,Real Sociedad,LaLiga Santander,CB,83,57,41,58,61,85,78
Carlos Salcedo,Eintracht Frankfurt,Bundesliga,CB,74,75,58,76,75,40,63
Hugo Ayala,Tigres U.A.N.L.,LIGA Bancomer MX,CB,75,84,69,68,82,27,57
Diego Reyes,FC Porto,Liga NOS,CB,77,72,37,50,60,78,74
Giovani dos Santos,LA Galaxy,Major League Soccer,CF,79,63,80,66,71,39,79
Miguel Layún,Sevilla FC,LaLiga Santander,RW,82,70,84,68,76,44,74
Jonathan dos Santos,LA Galaxy,Major League Soccer,CM,80,88,71,72,84,37,67
Jesús Manuel Corona,,,,73.32,71,59.87,64.19,68.7,54.35,69.77
Andrés Guardado,Real Betis Balompié,LaLiga Santander,CM,80,84,74,71,78,37,78
Javier Aquino,Tigres U.A.N.L.,LIGA Bancomer MX,LM,77,66,69,73,73,75,80
Jesús Gallardo,U.N.A.M.,LIGA Bancomer MX,LM,72,78,45,55,63,71,72
Carlos Vela,LAFC,Major League Soccer,CAM,84,54,77,87,78,65,72
Hirving Lozano,PSV,Eredivisie,RW,84,77,86,78,85,42,89
Marco Fabián,Eintracht Frankfurt,Bundesliga,CAM,79,88,65,73,81,28,50
Javier Hernández,West Ham United,Premier League,ST,82,90,52,77,82,78,76
Oribe Peralta,Club América,LIGA Bancomer MX,ST,76,74,72,73,77,44,62
Raúl Jiménez,SL Benfica,Liga NOS,ST,78,77,50,72,73,74,79
