NAME,CLUB,LEAGUE,POSITION,RATING,PACE,SHOOTING,PASSING,DRIBBLING,DEFENDING,PHYSICAL
Yassine Bounou,,,,73.32,71,59.87,64.19,68.7,54.35,69.77
Munir Mohamedi,,,,73.32,71,59.87,64.19,68.7,54.35,69.77
Manuel da Costa,Medipol Başakşehir FK,Süper Lig,CB,72,36,69,76,68,68,62
Medhi Benatia,Juventus,Calcio A,CB,87,95,82,84,88,51,72
Romain Saïss,Wolverhampton Wanderers,EFL Championship,CDM,76,77,61,64,75,74,71
Nabil Dirar,Fenerbahçe SK,Süper Lig,RB,81,81,78,80,82,37,76
Achraf Hakimi,Real Madrid CF,LaLiga Santander,RB,70,78,68,65,70,33,68
Hamza Mendyl,,,,73.32,71,59.87,64.19,68.7,54.35,69.77
Sofyan Amrabat,Feyenoord,Eredivisie,CM,75,85,74,60,77,28,63
Amine Harit,FC Schalke 04,Bundesliga,RW,77,74,70,77,84,28,43
Nordin Amrabat,CD Leganés,LaLiga Santander,RM,79,73,65,77,80,62,67
Youssef Aït Bennasser,,,,73.32,71,59.87,64.19,68.7,54.35,69.77
Mehdi Carcela,,,,73.32,71,59.87,64.19,68.7,54.35,69.77
Fayçal Fajr,Getafe CF,LaLiga Santander,LM,75,75,51,62,67,73,80
Younès Belhanda,Galatasaray SK,Süper Lig,CAM,84,76,80,84,81,79,84
Karim El Ahmadi,Feyenoord,Eredivisie,CM,80,75,74,75,81,60,77
Hakim Ziyech,Ajax,Eredivisie,CM,84,84,83,84,87,40,69
Mbark Boussoufa,,,,73.32,71,59.87,64.19,68.7,54.35,69.77
Ayoub El Kaabi,,,,73.32,71,59.87,64.19,68.7,54.35,69.77
Youssef En-Nesyri,Málaga CF,LaLiga Santander,ST,69,54,35,47,57,69,70
Aziz Bouhaddouz,FC St. Pauli Hamburg,Bundesliga 2,ST,73,73,70,69,73,35,55
Khalid Boutaïb,Evkur Yeni Malatyaspor,Süper Lig,ST,78,76,72,70,74,76,80
