NAME,CLUB,LEAGUE,POSITION,RATING,PACE,SHOOTING,PASSING,DRIBBLING,DEFENDING,PHYSICAL
Ikechukwu Ezenwa,,,,73.32,71,59.87,64.19,68.7,54.35,69.77
Francis Uzoho,,,,73.32,71,59.87,64.19,68.7,54.35,69.77
Shehu Abdullahi,,,,73.32,71,59.87,64.19,68.7,54.35,69.77
William Troost-Ekong,Bursaspor,Süper Lig,CB,71,53,63,71,69,66,76
Leon Balogun,1. FSV Mainz 05,Bundesliga,CB,75,57,74,51,70,27,69
Tyronne Ebuehi,,,,73.32,71,59.87,64.19,68.7,54.35,69.77
Chidozie Awaziem,FC Nantes,Ligue 1,CB,71,64,70,51,67,29,78
Brian Idowu,Amkar Perm,Sogaz Russian Football Championship,LWB,70,49,26,41,35,70,83
Kenneth Omeruo,Kasimpaşa SK,Süper Lig,CB,72,75,61,67,75,69,68
Elderson Echiéjilé,Sivasspor,Süper Lig,LB,71,51,72,71,69,43,64
John Ogu,,,,73.32,71,59.87,64.19,68.7,54.35,69.77
Ogenyi Onazi,Trabzonspor,Süper Lig,CDM,74,84,71,66,77,26,66
Joel Obi,Torino,Calcio A,CM,73,85,66,65,77,23,55
Wilfred Ndidi,,,,73.32,71,59.87,64.19,68.7,54.35,69.77
John Obi Mikel,,,,73.32,71,59.87,64.19,68.7,54.35,69.77
Oghenekaro Etebo,,,,73.32,71,59.87,64.19,68.7,54.35,69.77
Victor Moses,Chelsea,Premier League,RWB,82,69,36,65,62,85,78
Alex Iwobi,Arsenal,Premier League,LM,76,78,78,57,70,33,83
Odion Ighalo,,,,73.32,71,59.87,64.19,68.7,54.35,69.77
Ahmed Musa,Leicester City,Premier League,ST,81,71,54,64,62,83,80
Kelechi Iheanacho,Leicester City,Premier League,ST,75,50,68,76,72,68,70
Simeon Nwankwo,,,,73.32,71,59.87,64.19,68.7,54.35,69.77
