NAME,CLUB,LEAGUE,POSITION,RATING,PACE,SHOOTING,PASSING,DRIBBLING,DEFENDING,PHYSICAL
Pedro Gallese,,,,73.32,71,59.87,64.19,68.7,54.35,69.77
Carlos Cáceda,,,,73.32,71,59.87,64.19,68.7,54.35,69.77
Anderson Santamaría,,,,73.32,71,59.87,64.19,68.7,54.35,69.77
Miguel Araujo,,,,73.32,71,59.87,64.19,68.7,54.35,69.77
Miguel Trauco,,,,73.32,71,59.87,64.19,68.7,54.35,69.77
Alberto Rodríguez,,,,73.32,71,59.87,64.19,68.7,54.35,69.77
Luis Advíncula,Lobos B.U.A.P.,LIGA Bancomer MX,RB,72,52,33,59,53,74,70
Christian Ramos,,,,73.32,71,59.87,64.19,68.7,54.35,69.77
Nilson Loyola,,,,73.32,71,59.87,64.19,68.7,54.35,69.77
Aldo Corzo,,,,73.32,71,59.87,64.19,68.7,54.35,69.77
Yoshimar Yotún,Orlando City Soccer Club,Major League Soccer,CM,70,81,62,63,74,38,59
Wilder Cartagena,,,,73.32,71,59.87,64.19,68.7,54.35,69.77
Renato Tapia,Feyenoord,Eredivisie,CM,72,78,63,67,73,48,69
Christian Cueva,,,,73.32,71,59.87,64.19,68.7,54.35,69.77
Paolo Hurtado,Vitória Guimarães,Liga NOS,CAM,76,78,73,70,72,41,78
Andy Polo,Portland Timbers,LIGA Bancomer MX,RM,69,55,67,69,71,40,68
Pedro Aquino,Lobos B.U.A.P.,LIGA Bancomer MX,CDM,70,73,45,60,58,70,67
Raúl Ruidíaz,Monarcas Morelia,LIGA Bancomer MX,ST,76,61,75,64,70,33,75
Jefferson Farfán,Lokomotiv Moscow,Sogaz Russian Football Championship,ST,82,92,76,72,86,29,70
Paolo Guerrero,,,,73.32,71,59.87,64.19,68.7,54.35,69.77
André Carrillo,Watford,Premier League,RM,77,80,61,72,85,27,56
Edison Flores,,,,73.32,71,59.87,64.19,68.7,54.35,69.77
