NAME,CLUB,LEAGUE,POSITION,RATING,PACE,SHOOTING,PASSING,DRIBBLING,DEFENDING,PHYSICAL
Wojciech Szczęsny,,,,73.32,71,59.87,64.19,68.7,54.35,69.77
Bartosz Białkowski,,,,73.32,71,59.87,64.19,68.7,54.35,69.77
Thiago Cionek,Ferrara,Calcio A,CB,71,72,57,66,67,68,74
Jan Bednarek,Southampton,Premier League,CB,68,64,65,56,62,26,68
Łukasz Piszczek,Borussia Dortmund,Bundesliga,RB,83,68,41,58,66,85,76
Bartosz Bereszyński,Sampdoria,Calcio A,RB,73,79,62,66,76,46,50
Michał Pazdan,Legia Warszawa,T-Mobile Ekstraklasa,CB,76,76,70,56,73,22,78
Artur Jędrzejczyk,Legia Warszawa,T-Mobile Ekstraklasa,RB,73,71,61,70,72,67,81
Kamil Glik,AS Monaco Football Club SA,Ligue 1,CB,86,87,81,84,88,55,71
Rafał Kurzawa,,,,73.32,71,59.87,64.19,68.7,54.35,69.77
Piotr Zieliński,Napoli,Calcio A,CM,83,80,77,79,82,28,76
Sławomir Peszko,Lechia Gdańsk,T-Mobile Ekstraklasa,LM,69,76,63,56,64,22,76
Jakub Błaszczykowski,VfL Wolfsburg,Bundesliga,RM,76,76,45,65,71,73,72
Maciej Rybus,Lokomotiv Moscow,Sogaz Russian Football Championship,LB,72,59,69,63,70,34,62
Kamil Grosicki,Hull City,EFL Championship,LM,76,58,50,60,59,75,83
Grzegorz Krychowiak,West Bromwich Albion,Premier League,CDM,81,72,69,83,81,72,73
Karol Linetty,Sampdoria,Calcio A,CM,75,51,77,52,62,35,77
Jacek Góralski,,,,73.32,71,59.87,64.19,68.7,54.35,69.77
Robert Lewandowski,FC Bayern München,Bundesliga,ST,93,83,92,79,89,41,85
Arkadiusz Milik,Napoli,Calcio A,ST,79,70,42,55,52,79,85
Łukasz Teodorczyk,RSC Anderlecht,Belgium Pro League,ST,86,85,62,84,81,86,80
Dawid Kownacki,Sampdoria,Calcio A,ST,68,43,54,64,62,68,71
