NAME,CLUB,LEAGUE,POSITION,RATING,PACE,SHOOTING,PASSING,DRIBBLING,DEFENDING,PHYSICAL
Rui Patrício,,,,73.32,71,59.87,64.19,68.7,54.35,69.77
Anthony Lopes,,,,73.32,71,59.87,64.19,68.7,54.35,69.77
Rúben Dias,,,,73.32,71,59.87,64.19,68.7,54.35,69.77
Raphaël Guerreiro,Borussia Dortmund,Bundesliga,LM,81,66,43,56,57,83,78
José Fonte,West Ham United,Premier League,CB,80,88,72,77,84,39,56
Cédric,Southampton,Premier League,RB,79,51,39,49,53,84,69
Mário Rui,Napoli,Calcio A,LB,77,55,48,72,70,71,71
Ricardo Pereira,FC Porto,Liga NOS,RB,83,53,57,77,74,80,83
Bruno Alves,Rangers FC,Scottish Premiership,CB,78,84,65,75,81,53,62
Pepe,Beşiktaş JK,Süper Lig,CB,86,80,84,90,88,33,63
Bruno Fernandes,Sporting CP,Liga NOS,CAM,81,77,73,77,82,55,77
William Carvalho,Sporting CP,Liga NOS,CDM,85,72,72,76,77,86,84
Manuel Fernandes,Lokomotiv Moscow,Sogaz Russian Football Championship,LM,85,86,79,80,86,54,70
João Mário,West Ham United,Premier League,CM,83,71,83,78,88,36,66
João Moutinho,AS Monaco Football Club SA,Ligue 1,CM,82,62,50,58,59,85,77
Bernardo Silva,Manchester City,Premier League,RM,84,72,67,84,82,78,72
Adrien Silva,Leicester City,Premier League,CM,83,93,77,78,88,32,64
André Silva,Milan,Calcio A,ST,82,87,84,77,82,35,82
Gonçalo Guedes,Valencia CF,LaLiga Santander,LM,83,91,83,79,85,35,80
Gelson Martins,Sporting CP,Liga NOS,RM,84,85,78,82,87,62,71
Ricardo Quaresma,,,,73.32,71,59.87,64.19,68.7,54.35,69.77
Cristiano Ronaldo,Real Madrid CF,LaLiga Santander,LW,98,98,99,94,98,50,95
