NAME,CLUB,LEAGUE,POSITION,RATING,PACE,SHOOTING,PASSING,DRIBBLING,DEFENDING,PHYSICAL
Igor Akinfeev,,,,73.32,71,59.87,64.19,68.7,54.35,69.77
Andrey Lunyov,,,,73.32,71,59.87,64.19,68.7,54.35,69.77
Sergei Ignashevich,,,,73.32,71,59.87,64.19,68.7,54.35,69.77
Mário Fernandes,CSKA Moscow,Sogaz Russian Football Championship,RWB,81,87,78,72,80,35,74
Vladimir Granat,Rubin Kazan,Sogaz Russian Football Championship,CB,72,75,53,65,65,68,82
Ilya Kutepov,Spartak Moscow,Sogaz Russian Football Championship,CB,73,79,72,56,74,42,62
Fyodor Kudryashov,,,,73.32,71,59.87,64.19,68.7,54.35,69.77
Andrei Semyonov,,,,73.32,71,59.87,64.19,68.7,54.35,69.77
Igor Smolnikov,Zenit St. Petersburg,Sogaz Russian Football Championship,RB,80,78,66,80,81,68,68
Alan Dzagoev,CSKA Moscow,Sogaz Russian Football Championship,CM,80,72,62,67,61,80,83
Roman Zobnin,Spartak Moscow,Sogaz Russian Football Championship,CDM,77,88,72,74,75,54,72
Daler Kuzyayev,,,,73.32,71,59.87,64.19,68.7,54.35,69.77
Denis Cheryshev,Villarreal CF,LaLiga Santander,LM,79,83,80,73,82,35,67
Aleksei Miranchuk,,,,73.32,71,59.87,64.19,68.7,54.35,69.77
Anton Miranchuk,Lokomotiv Moscow,Sogaz Russian Football Championship,CAM,68,63,31,44,55,67,72
Aleksandr Golovin,,,,73.32,71,59.87,64.19,68.7,54.35,69.77
Yuri Zhirkov,,,,73.32,71,59.87,64.19,68.7,54.35,69.77
Aleksandr Samedov,,,,73.32,71,59.87,64.19,68.7,54.35,69.77
Aleksandr Yerokhin,,,,73.32,71,59.87,64.19,68.7,54.35,69.77
Yury Gazinsky,,,,73.32,71,59.87,64.19,68.7,54.35,69.77
Fyodor Smolov,,,,73.32,71,59.87,64.19,68.7,54.35,69.77
Artem Dzyuba,FC Arsenal Tula,Sogaz Russian Football Championship,ST,79,33,50,55,52,80,77
