NAME,CLUB,LEAGUE,POSITION,RATING,PACE,SHOOTING,PASSING,DRIBBLING,DEFENDING,PHYSICAL
Abdullah Al-Mayouf,,,,73.32,71,59.87,64.19,68.7,54.35,69.77
Mohammed Al-Owais,,,,73.32,71,59.87,64.19,68.7,54.35,69.77
Yasser Al-Shahrani,,,,73.32,71,59.87,64.19,68.7,54.35,69.77
Mohammed Al-Breik,,,,73.32,71,59.87,64.19,68.7,54.35,69.77
Motaz Hawsawi,Al Ahli,Abdul Latif Jameel League,CB,74,63,75,69,72,55,75
Mansoor Al-Harbi,,,,73.32,71,59.87,64.19,68.7,54.35,69.77
Ali Al-Bulaihi,,,,73.32,71,59.87,64.19,68.7,54.35,69.77
Osama Hawsawi,Al Hilal,Abdul Latif Jameel League,CB,75,90,68,68,78,29,62
Omar Hawsawi,,,,73.32,71,59.87,64.19,68.7,54.35,69.77
Salman Al-Faraj,,,,73.32,71,59.87,64.19,68.7,54.35,69.77
Salem Al-Dawsari,,,,73.32,71,59.87,64.19,68.7,54.35,69.77
Taisir Al-Jassim,,,,73.32,71,59.87,64.19,68.7,54.35,69.77
Housain Al-Mogahwi,,,,73.32,71,59.87,64.19,68.7,54.35,69.77
Abdullah Al-Khaibari,,,,73.32,71,59.87,64.19,68.7,54.35,69.77
Abdulmalek Al-Khaibri,,,,73.32,71,59.87,64.19,68.7,54.35,69.77
Hattan Bahebri,,,,73.32,71,59.87,64.19,68.7,54.35,69.77
Yahya Al-Shehri,,,,73.32,71,59.87,64.19,68.7,54.35,69.77
Abdullah Otayf,,,,73.32,71,59.87,64.19,68.7,54.35,69.77
Mohamed Kanno,Al Hilal,Abdul Latif Jameel League,CAM,67,76,52,64,68,60,72
Mohammad Al-Sahlawi,,,,73.32,71,59.87,64.19,68.7,54.35,69.77
Fahad Al-Muwallad,,,,73.32,71,59.87,64.19,68.7,54.35,69.77
Muhannad Assiri,,,,73.32,71,59.87,64.19,68.7,54.35,69.77
