NAME,CLUB,LEAGUE,POSITION,RATING,PACE,SHOOTING,PASSING,DRIBBLING,DEFENDING,PHYSICAL
Abdoulaye Diallo,,,,73.32,71,59.87,64.19,68.7,54.35,69.77
Alfred Gomis,,,,73.32,71,59.87,64.19,68.7,54.35,69.77
Kara Mbodji,,,,73.32,71,59.87,64.19,68.7,54.35,69.77
Lamine Gassama,Alanyaspor,Süper Lig,RB,68,46,68,63,66,25,74
Saliou Ciss,Valenciennes FC,Domino’s Ligue 2,LB,69,80,67,58,65,22,71
Kalidou Koulibaly,Napoli,Calcio A,CB,86,82,83,85,87,59,86
Moussa Wagué,,,,73.32,71,59.87,64.19,68.7,54.35,69.77
Youssouf Sabaly,FC Girondins de Bordeaux,Ligue 1,RB,76,79,65,69,82,28,66
Cheikh N'Doye,Birmingham City,EFL Championship,CM,78,67,79,56,69,40,76
Cheikhou Kouyaté,West Ham United,Premier League,CB,81,87,81,64,77,43,82
Salif Sané,Hannover 96,Bundesliga,CB,79,92,65,75,79,73,71
Badou Ndiaye,Stoke City,Premier League,CM,77,71,54,70,73,74,82
Idrissa Gueye,Everton,Premier League,CDM,83,70,45,51,54,85,81
Alfred N'Diaye,Wolverhampton Wanderers,EFL Championship,CDM,78,86,73,73,81,40,61
Sadio Mané,Liverpool,Premier League,LW,87,73,77,72,68,89,81
Moussa Sow,Bursaspor,Süper Lig,ST,78,59,35,48,55,79,84
Moussa Konaté,Amiens SC,Ligue 1,ST,74,59,35,54,47,74,77
Diafra Sakho,Stade Rennais FC,Ligue 1,ST,75,87,72,70,77,32,59
Ismaïla Sarr,Stade Rennais FC,Ligue 1,LM,73,78,66,72,74,35,50
M'Baye Niang,Torino,Calcio A,LW,78,67,33,45,58,80,76
Keita Baldé,,,,73.32,71,59.87,64.19,68.7,54.35,69.77
Mame Biram Diouf,,,,73.32,71,59.87,64.19,68.7,54.35,69.77
