NAME,CLUB,LEAGUE,POSITION,RATING,PACE,SHOOTING,PASSING,DRIBBLING,DEFENDING,PHYSICAL
David de Gea,,,,73.32,71,59.87,64.19,68.7,54.35,69.77
Pepe Reina,,,,73.32,71,59.87,64.19,68.7,54.35,69.77
Nacho,Real Valladolid,LaLiga 1 I 2 I 3,LB,80,71,71,58,68,34,71
Jordi Alba,FC Barcelona,LaLiga Santander,LW,90,86,91,74,86,46,83
Nacho Monreal,Arsenal,Premier League,LB,83,86,66,83,81,81,78
Sergio Ramos,Real Madrid CF,LaLiga Santander,CB,97,86,79,88,89,98,96
César Azpilicueta,,,,73.32,71,59.87,64.19,68.7,54.35,69.77
Gerard Piqué,,,,89,71,59.87,64.19,68.7,54.35,69.77
Dani Carvajal,,,,86,71,59.87,64.19,68.7,54.35,69.77
Álvaro Odriozola,,,,73.32,71,59.87,64.19,68.7,54.35,69.77
Isco,Real Madrid CF,LaLiga Santander,CM,87,40,62,79,78,82,81
Koke,Atlético Madrid,LaLiga Santander,CM,87,67,88,76,80,36,77
Saúl,Atlético Madrid,LaLiga Santander,CM,84,88,85,78,85,30,69
Andrés Iniesta,,,,89,71,59.87,64.19,68.7,54.35,69.77
Sergio Busquets,FC Barcelona,LaLiga Santander,CDM,89,79,86,81,84,23,76
Marco Asensio,Real Madrid CF,LaLiga Santander,LM,86,75,83,65,76,40,88
Thiago,FC Bayern München,Bundesliga,CM,91,68,60,80,75,93,82
Lucas Vázquez,Real Madrid CF,LaLiga Santander,RW,82,63,63,71,64,81,85
Rodrigo,Valencia CF,LaLiga Santander,ST,83,81,84,72,80,26,77
Iago Aspas,RC Celta de Vigo,LaLiga Santander,ST,87,72,52,61,69,90,79
Diego Costa,Atlético Madrid,LaLiga Santander,ST,90,85,82,84,91,40,63
David Silva,Manchester City,Premier League,CM,92,83,91,81,87,48,86
