NAME,CLUB,LEAGUE,POSITION,RATING,PACE,SHOOTING,PASSING,DRIBBLING,DEFENDING,PHYSICAL
Robin Olsen,,,,73.32,71,59.87,64.19,68.7,54.35,69.77
Kristoffer Nordfeldt,,,,73.32,71,59.87,64.19,68.7,54.35,69.77
Pontus Jansson,Leeds United,EFL Championship,CB,76,83,73,60,74,37,80
Emil Krafth,Bologna,Calcio A,RB,73,42,45,59,55,73,78
Filip Helander,Bologna,Calcio A,CB,73,80,68,65,70,46,81
Mikael Lustig,Celtic,Scottish Premiership,RB,73,70,73,46,65,27,74
Victor Lindelöf,Manchester United,Premier League,CB,79,85,76,59,76,43,85
Ludwig Augustinsson,SV Werder Bremen,Bundesliga,LB,73,76,62,71,75,56,60
Martin Olsson,Swansea City,Premier League,LB,75,84,59,71,73,68,66
Andreas Granqvist,FC Krasnodar,Sogaz Russian Football Championship,CB,85,82,84,82,90,33,80
Emil Forsberg,RB Leipzig,Bundesliga,LM,83,51,67,65,58,85,81
Sebastian Larsson,Hull City,EFL Championship,CM,75,84,63,69,72,72,70
Oscar Hiljemark,Genoa,Calcio A,CM,73,68,72,58,69,39,75
Viktor Claesson,FC Krasnodar,Sogaz Russian Football Championship,CAM,73,89,70,66,79,31,45
Marcus Rohdén,Crotone,Calcio A,RM,71,80,67,58,70,22,62
Jimmy Durmaz,Toulouse Football Club,Ligue 1,CAM,75,80,71,74,78,44,54
Albin Ekdal,Hamburger SV,Bundesliga,CM,76,86,72,67,81,36,64
Gustav Svensson,Seattle Sounders FC,Major League Soccer,CB,72,85,62,65,72,62,78
Marcus Berg,,,,73.32,71,59.87,64.19,68.7,54.35,69.77
John Guidetti,Deportivo Alavés,LaLiga Santander,ST,78,71,72,75,78,69,68
Isaac Kiese Thelin,Waasland-Beveren,Belgium Pro League,ST,78,82,81,65,67,31,76
Ola Toivonen,Toulouse Football Club,Ligue 1,CAM,75,29,33,44,39,76,74
