NAME,CLUB,LEAGUE,POSITION,RATING,PACE,SHOOTING,PASSING,DRIBBLING,DEFENDING,PHYSICAL
Yann Sommer,,,,73.32,71,59.87,64.19,68.7,54.35,69.77
Yvon Mvogo,,,,73.32,71,59.87,64.19,68.7,54.35,69.77
Nico Elvedi,Borussia Mönchengladbach,Bundesliga,RB,76,79,62,67,72,74,80
Stephan Lichtsteiner,Juventus,Calcio A,RB,84,67,76,84,84,32,54
Johan Djourou,Antalyaspor,Süper Lig,CB,73,78,69,57,72,31,73
François Moubandje,Toulouse Football Club,Ligue 1,LB,74,61,63,71,72,70,72
Fabian Schär,RC Deportivo de La Coruña,LaLiga Santander,CB,77,81,42,64,68,78,76
Ricardo Rodríguez,Milan,Calcio A,LB,86,86,85,86,88,53,79
Michael Lang,FC Basel,Raiffeisen Super League,RB,81,76,74,74,77,77,76
Manuel Akanji,Borussia Dortmund,Bundesliga,CB,72,88,68,66,78,25,58
Granit Xhaka,Arsenal,Premier League,CDM,82,30,41,54,56,84,81
Valon Behrami,Udinese,Calcio A,CDM,77,89,60,68,76,72,81
Remo Freuler,Atalanta,Calcio A,CM,81,84,77,80,82,80,80
Steven Zuber,TSG 1899 Hoffenheim,Bundesliga,LM,81,84,65,73,76,80,77
Blerim Džemaili,Bologna,Calcio A,LM,82,74,82,67,74,27,83
Gelson Fernandes,Eintracht Frankfurt,Bundesliga,CDM,76,54,77,66,64,44,77
Denis Zakaria,Borussia Mönchengladbach,Bundesliga,CM,77,70,79,68,77,33,82
Xherdan Shaqiri,Stoke City,Premier League,RM,82,85,83,78,81,24,79
Breel Embolo,FC Schalke 04,Bundesliga,ST,81,72,72,82,80,79,81
Mario Gavranović,,,,73.32,71,59.87,64.19,68.7,54.35,69.77
Josip Drmić,Borussia Mönchengladbach,Bundesliga,ST,74,46,46,72,68,66,64
Haris Seferović,SL Benfica,Liga NOS,ST,75,74,61,74,76,62,74
