NAME,CLUB,LEAGUE,POSITION,RATING,PACE,SHOOTING,PASSING,DRIBBLING,DEFENDING,PHYSICAL
Farouk Ben Mustapha,,,,73.32,71,59.87,64.19,68.7,54.35,69.77
Mouez Hassen,,,,73.32,71,59.87,64.19,68.7,54.35,69.77
Hamdi Nagguez,,,,73.32,71,59.87,64.19,68.7,54.35,69.77
Dylan Bronn,,,,73.32,71,59.87,64.19,68.7,54.35,69.77
Ali Maâloul,,,,73.32,71,59.87,64.19,68.7,54.35,69.77
Syam Ben Youssef,Kasimpaşa SK,Süper Lig,CB,72,69,62,70,73,65,58
Oussama Haddadi,,,,73.32,71,59.87,64.19,68.7,54.35,69.77
Yassine Meriah,,,,73.32,71,59.87,64.19,68.7,54.35,69.77
Rami Bedoui,,,,73.32,71,59.87,64.19,68.7,54.35,69.77
Yohan Benalouane,Leicester City,Premier League,CB,75,77,55,72,77,66,69
Anice Badri,,,,73.32,71,59.87,64.19,68.7,54.35,69.77
Ferjani Sassi,,,,73.32,71,59.87,64.19,68.7,54.35,69.77
Mohamed Amine Ben Amor,,,,73.32,71,59.87,64.19,68.7,54.35,69.77
Ellyes Skhiri,Montpellier Hérault SC,Ligue 1,CDM,74,86,65,71,80,67,68
Saîf-Eddine Khaoui,ESTAC Troyes,Ligue 1,CAM,70,69,67,56,70,25,64
Ghailene Chaalali,,,,73.32,71,59.87,64.19,68.7,54.35,69.77
Saber Khalifa,,,,73.32,71,59.87,64.19,68.7,54.35,69.77
Ahmed Khalil,,,,73.32,71,59.87,64.19,68.7,54.35,69.77
Wahbi Khazri,Stade Rennais FC,Ligue 1,CAM,82,91,77,80,87,50,60
Fakhreddine Ben Youssef,,,,73.32,71,59.87,64.19,68.7,54.35,69.77
Bassem Srarfi,OGC Nice,Ligue 1,RW,68,78,60,65,71,51,56
Naïm Sliti,Dijon FCO,Ligue 1,LM,72,72,60,70,75,60,66
