NAME,CLUB,LEAGUE,POSITION,RATING,PACE,SHOOTING,PASSING,DRIBBLING,DEFENDING,PHYSICAL
Fernando Muslera,,,,73.32,71,59.87,64.19,68.7,54.35,69.77
Martín Silva,,,,73.32,71,59.87,64.19,68.7,54.35,69.77
Sebastián Coates,Sporting CP,Liga NOS,CB,81,70,73,79,80,68,69
Maxi Pereira,,,,73.32,71,59.87,64.19,68.7,54.35,69.77
José Giménez,,,,73.32,71,59.87,64.19,68.7,54.35,69.77
Martín Cáceres,Lazio,Calcio A,RB,77,66,56,66,62,75,79
Diego Godín,Atlético Madrid,LaLiga Santander,CB,88,84,86,86,88,60,87
Guillermo Varela,,,,73.32,71,59.87,64.19,68.7,54.35,69.77
Gastón Silva,,,,73.32,71,59.87,64.19,68.7,54.35,69.77
Cristian Rodríguez,,,,73.32,71,59.87,64.19,68.7,54.35,69.77
Rodrigo Bentancur,Juventus,Calcio A,CM,69,33,36,45,40,68,75
Lucas Torreira,Sampdoria,Calcio A,CM,81,72,83,72,73,39,82
Matías Vecino,,,,73.32,71,59.87,64.19,68.7,54.35,69.77
Carlos Sánchez,RCD Espanyol,LaLiga Santander,CDM,77,66,69,78,76,73,72
Diego Laxalt,Genoa,Calcio A,LM,78,81,58,72,74,73,78
Nahitan Nández,Boca Juniors,Primera División,CDM,70,82,65,61,70,20,58
Luis Suárez,FC Barcelona,LaLiga Santander,ST,95,85,95,86,91,48,85
Giorgian De Arrascaeta,,,,73.32,71,59.87,64.19,68.7,54.35,69.77
Cristhian Stuani,Girona FC,LaLiga Santander,ST,78,82,82,74,82,30,66
Maxi Gómez,,,,73.32,71,59.87,64.19,68.7,54.35,69.77
Jonathan Urretaviscaya,Monterrey,LIGA Bancomer MX,RW,74,64,66,68,69,66,75
Edinson Cavani,Paris Saint-Germain,Ligue 1,ST,92,91,86,87,94,33,70
